id,nazwa,nazwa_ang,kategoria,glowne_miesnie,sprzet,poziom,jak_wykonac,najczestsze_bledy,uwagi_biodro_kregoslup,dlaczego_w_planie,wersja_latwiejsza,wersja_trudniejsza
"EX11","Odwodzenie nogi leżąc bokiem","Side-Lying Hip Abduction","sila","pośladkowy średni","mata","1","Leż na boku, dolna noga zgięta dla stabilizacji, górna prosta w linii tułowia | Unieś górną nogę ok. 30-40 cm, pięta lekko wyżej niż palce, noga minimalnie za linią tułowia | Zatrzymaj 1 s, powoli opuść","Noga uciekająca do przodu (wtedy pracują zginacze, nie pośladek); za wysoko z przechylaniem tułowia","Wzmacnia stabilizator biodra bez obciążania kręgosłupa.","Uzupełnia clamshell — inny kąt pracy tego samego mięśnia.","Mniejszy zakres","Hantel 2-4 kg oparty na udzie; 3 s w górze"
"EX12","Przysiad bez obciążenia","Bodyweight Squat","rozgrzewka","nogi, pośladki","brak","1","Stopy na szerokość barków, palce lekko na zewnątrz | Ręce w przód, usiądź 'między pięty' — kolana idą w kierunku palców | Tak głęboko jak plecy zostają proste i pięty na ziemi | Wstań przez pięty","Kolana uciekają do środka; pięty odrywają się; zaokrąglenie pleców na dole","Jeśli prawe biodro 'zahacza' na dole — zejdź tylko do wysokości gdzie ruch jest gładki. Zakres zwiększaj tygodniami.","Rozgrzewa stawy przed goblet squat i sprawdza jak biodro 'czuje się' dziś (autoregulacja).","Przysiad na krzesło","Zatrzymanie 2 s na dole"
"EX13","Ślizgi po ścianie","Wall Slides","rozgrzewka","barki, górne plecy, kręgosłup piersiowy","ściana","1","Stań plecami do ściany, pięty 10-15 cm od niej, dolne plecy i głowa dotykają ściany | Ręce zgięte, łokcie i grzbiety dłoni na ścianie (pozycja 'W') | Powoli przesuwaj ręce w górę do pozycji 'Y', trzymając kontakt ze ścianą | Wróć do 'W'","Odrywanie dolnych pleców od ściany; wypychanie żeber","Odwraca skutki siedzenia (zaokrąglone barki). Zero obciążenia kręgosłupa.","Zdrowe barki przed wyciskaniem nad głowę.","Mniejszy zakres, pozwól rękom odjechać od ściany","Zatrzymanie 3 s na górze"
"EX14","Przysiad z hantlem przy klatce","Goblet Squat","sila","czworogłowy uda, pośladki, core","hantel","2","Trzymaj hantel pionowo obiema rękami przy klatce, łokcie w dół | Stopy na szerokość barków, palce lekko na zewnątrz | Napnij brzuch, usiądź 'między pięty' — łokcie idą między kolana | Zejdź tak głęboko, jak plecy zostają proste | Wstań przez pięty, ściśnij pośladki na górze","Pochylanie tułowia do przodu; kolana do środka; odrywanie pięt; zatrzymanie oddechu na całej serii","Ciężar z przodu naturalnie prostuje plecy. Głębokość: tylko do komfortu prawego biodra — może być 'do krzesła'. To najlepszy przysiad dla osoby z problemami biodra, bo pozwala kontrolować zakres.","Największy bodziec dla nóg i pośladków przy najniższym ryzyku. Ćwiczenie, które daje satysfakcję — czujesz całe ciało.","Przysiad na krzesło z hantlem","Tempo 3-1-1 (3 s w dół, 1 s pauza na dole); cięższy hantel; 1.5 powtórzenia (dół, pół góry, dół, góra)"
"EX15","Rumuński martwy ciąg z hantlami","Dumbbell Romanian Deadlift (RDL)","sila","pośladki, tył uda, dolne plecy (stabilizacja)","2 hantle","2","Stań prosto, hantle przed udami, stopy na szerokość bioder, kolana minimalnie zgięte (miękkie) | Napnij brzuch, ściągnij łopatki | Pchnij biodra do tyłu (jak zamykanie drzwi pupą), hantle zjeżdżają wzdłuż ud | Zejdź do momentu, gdy plecy chcą się zaokrąglić lub tył uda mocno się napina (zwykle okolice kolan / pół łydki) | Wróć wypychając biodra w przód, ściśnij pośladki","Zaokrąglanie pleców; zginanie kolan jak w przysiadzie; hantle odjeżdżające od nóg; patrzenie w lustro (szyja w górę)","NAJWAŻNIEJSZE ćwiczenie dla Twoich pośladków i zdrowych pleców — ale technika ponad ciężar. Zakres tylko do prostych pleców. Jeśli w prawym biodrze coś 'szczypie' — zmniejsz zakres i ciężar, nie rezygnuj.","Mocne pośladki i tył uda = mniej napięcia kompensacyjnego. RDL uczy też 'hip hinge' — bezpiecznego podnoszenia rzeczy z ziemi na całe życie.","Jeden hantel przy klatce; mniejszy zakres","Tempo 3-1-1; cięższe hantle; wersja jednonóż (EX26)"
"EX16","Wyciskanie hantli na podłodze","Dumbbell Floor Press","sila","klatka piersiowa, triceps, przód barków","2 hantle, mata","2","Leż na plecach, kolana zgięte, stopy na podłodze | Hantle nad klatką, nadgarstki prosto nad łokciami | Powoli opuść aż tylne części ramion (tricepsy) dotkną podłogi, łokcie pod kątem ok. 45 stopni od tułowia | Krótka pauza, wypchnij w górę","Odbijanie łokci od podłogi; łokcie szeroko na boki (barki); wyginanie dolnych pleców","Plecy leżą na podłodze — zero obciążenia kręgosłupa. Podłoga zatrzymuje ruch w bezpiecznym zakresie dla barków.","Główne ćwiczenie na klatkę w domu. Bezpieczniejsze dla barków niż ławka.","Lżejsze hantle","Cięższe hantle; jednorącz (core pracuje mocniej)"
"EX17","Wiosłowanie hantlem jednorącz","One-Arm Dumbbell Row","sila","plecy (najszerszy), tył barków, biceps","hantel, krzesło/kanapa","2","Oprzyj lewą dłoń i lewe kolano o kanapę/krzesło, prawa noga na podłodze, plecy równolegle do ziemi | Hantel w prawej dłoni zwisa | Napnij brzuch, pociągnij łokieć w kierunku biodra (nie na bok), łopatka idzie do kręgosłupa | Zatrzymaj 1 s, powoli opuść z pełnym wyprostem ręki","Skręcanie tułowia; szarpanie; ruch tylko w łokciu bez łopatki; zaokrąglanie pleców","Podparcie odciąża kręgosłup — możesz pracować ciężko bez ryzyka.","Plecy to duża grupa, której u osób siedzących brakuje. Mocne plecy = lepsza postawa, mniej bólu.","Lżejszy hantel; obie ręce z hantlami w opadzie (EX21)","Pauza 2 s na górze; cięższy hantel"
"EX18","Hip thrust z hantlem","Dumbbell Hip Thrust","sila","pośladki","hantel, kanapa/łóżko","2","Usiądź na podłodze plecami do kanapy, dolne łopatki oparte o krawędź | Hantel na biodrach (ręcznik pod spód dla komfortu) | Stopy płasko, kolana zgięte 90 stopni na górze ruchu | Wciśnij pięty, unieś biodra aż tułów jest równoległy do ziemi, broda lekko schowana, patrz przed siebie | Ściśnij pośladki 1-2 s, opuść kontrolowanie","Wyginanie dolnych pleców na górze (przesadny zakres); głowa odrzucona do tyłu; stopy za daleko (pracuje tył uda) lub za blisko (czworogłowy)","Najlepsza izolacja pośladków przy minimalnym obciążeniu kręgosłupa i biodra w zakresie, który kontrolujesz.","Mocne pośladki to Twoja 'polisa' na biodro, plecy i sen bez rolowania.","Bez hantla (EX04)","Cięższy hantel; pauza 3 s; wersja jednonóż"
"EX19","Wykrok w tył","Reverse Lunge","sila","pośladki, czworogłowy, stabilizacja biodra","2 hantle lub bez","2","Stań prosto, hantle wzdłuż ciała | Zrób duży krok w tył, opuść tylne kolano w kierunku podłogi (nie dotykaj) | Przednie kolano nad stopą, tułów prosty, ciężar na przedniej pięcie | Wróć do stania przez przednią nogę | Wszystkie powtórzenia na jedną nogę, potem druga","Za krótki krok (kolano przed palcami i przeciążenie); pochylanie tułowia; przednie kolano do środka","Wykrok w tył jest łagodniejszy dla kolan i bioder niż w przód. Zacznij od słabszej/bolesnej strony i wykonaj na nią tyle samo co na zdrową (nie mniej).","Praca jednonóż wyrównuje różnice między stronami (prawe biodro) i angażuje pośladkowy średni.","Bez hantli; przytrzymaj się krzesła","Cięższe hantle; przednia stopa na stopniu (deficyt)"
"EX20","Wyciskanie hantli nad głowę","Dumbbell Overhead Press","sila","barki, triceps, górne plecy","2 hantle","2","Stój (lub siedź na krześle bez oparcia), hantle przy barkach, dłonie do przodu lub lekko do środka | Napnij brzuch i pośladki (chroni dolne plecy) | Wypchnij hantle w górę do wyprostu, lekko zbliżając je nad głową | Powoli opuść do barków","Wyginanie dolnych pleców (odchylanie się do tyłu); wypychanie żeber; łokcie daleko na boki","Jeśli plecy mają tendencję do wyginania — rób siedząc, plecy oparte. Napięcie pośladków 'blokuje' miednicę.","Barki dają sylwetkę 'V'. Buduje też kontrolę core w pozycji stojącej.","Siedząc z oparciem; jednorącz","Stojąc, tempo 2-1-2; cięższe"
"EX21","Wiosłowanie oburącz w opadzie","Bent-Over Dumbbell Row","sila","plecy, tył barków, dolne plecy (stabilizacja)","2 hantle","2","Stój, hantle przed udami, pchnij biodra w tył jak w RDL — tułów pod kątem ok. 45 stopni, plecy proste | Napnij brzuch | Pociągnij oba łokcie do bioder, łopatki do kręgosłupa | Zatrzymaj 1 s, opuść","Zaokrąglanie pleców; prostowanie się przy każdym powtórzeniu; szarpanie","Trzyma plecy pod obciążeniem statycznym — świetnie wzmacnia prostowniki, ale jeśli dolne plecy męczą się szybciej niż górne, wróć do EX17 (z podparciem).","Buduje grubość górnych pleców i wytrzymałość dolnych — postawa.","EX17 z podparciem","Cięższe; pauza 2 s"
"EX22","Pompki","Push-Up","sila","klatka, triceps, barki, core","mata","2","Podpór przodem, dłonie nieco szerzej niż barki, ciało w linii od głowy do pięt | Napnij brzuch i pośladki | Opuść klatkę do ok. 5 cm nad podłogę, łokcie ok. 45 stopni od tułowia | Wypchnij się w górę","Opadające biodra (wygięte plecy); głowa w dół; niepełny zakres; łokcie szeroko","Napięty core chroni dolne plecy. Jeśli plecy 'wpadają' — wersja z rękami na podwyższeniu.","Klasyk, który daje satysfakcję. Ciężar dobiera się sam wysokością podparcia.","Dłonie na kanapie/stole","Stopy na podwyższeniu; hantle jako uchwyty (głębszy zakres); tempo 3-0-1"
"EX23","Mostek biodrowy jednonóż","Single-Leg Glute Bridge","sila","pośladki, stabilizacja miednicy","mata","2","Pozycja jak w EX04 | Unieś jedną nogę (kolano zgięte, stopa w powietrzu) | Wciśnij piętę drugiej nogi i unieś biodra — miednica POZIOMO, nie przechyla się | Ściśnij pośladek 1-2 s, opuść | Wszystkie powtórzenia na jedną nogę, potem druga","Przechylanie miednicy na bok; wyginanie pleców; skurcz tyłu uda zamiast pośladka (przysuń stopę bliżej)","Ujawnia i wyrównuje różnicę między stronami (prawe biodro). Bez obciążenia kręgosłupa.","Wzmacnia pośladek w funkcji stabilizacji — jak przy chodzeniu. Kluczowe dla bioder.","Noga nieuniesiona, stopa na palcach (EX04 z akcentem)","Hantel na biodrze; 3 s pauza"
"EX24","Spacer farmera","Farmer Carry","sila","chwyt, core, barki, całe ciało","2 hantle","1","Podnieś hantle z podłogi techniką RDL/przysiadu (plecy proste) | Stań prosto, barki w dół i tył, brzuch napięty, patrz przed siebie | Idź spokojnym krokiem 30-40 s (lub 20-30 m i z powrotem) | Odłóż z kontrolą","Garbienie się; barki podciągnięte do uszu; szybki, chaotyczny chód","Uczy trzymać kręgosłup neutralnie pod obciążeniem w ruchu — to trening 'noszenia zakupów' bez bólu pleców. Bezpieczne i bardzo funkcjonalne.","Buduje core, chwyt, postawę i wytrzymałość. Prosto, ciężko, satysfakcjonująco.","Lżejsze hantle, krótszy czas","Cięższe; dłuższy czas; jednorącz (EX32)"
"EX25","Przysiad sumo z hantlem","Dumbbell Sumo Squat","sila","przywodziciele, pośladki, czworogłowy","hantel","2","Stopy szeroko (1.5 szerokości barków), palce na zewnątrz 30-45 stopni | Hantel trzymaj oburącz pionowo między nogami | Plecy proste, usiądź prosto w dół — kolana w kierunku palców | Wstań, ściśnij pośladki","Kolana do środka; pochylanie się w przód; za wąsko","Szerokie ustawienie często jest wygodniejsze dla biodra niż wąskie — sprawdź która wersja 'lubi' Twoje prawe biodro. Otwiera biodra i wzmacnia wewnętrzną stronę uda.","Przywodziciele to zaniedbany stabilizator biodra. Różny kąt pracy niż goblet.","Mniejszy zakres","Cięższy hantel; pauza 2 s na dole"
"EX26","RDL jednonóż z podparciem","Supported Single-Leg RDL","sila","pośladki, tył uda, stabilizacja biodra","hantel, krzesło/ściana","3","Stań na prawej nodze, lewą dłonią trzymaj krzesło/ścianę, hantel w prawej dłoni | Pchnij biodro w tył, lewa noga wędruje prosto w tył, tułów pochyla się — jak wskazówka zegara | Plecy proste, biodra POZIOMO (nie otwieraj biodra w bok) | Zejdź do momentu napięcia tyłu uda, wróć ściskając pośladek","Otwieranie biodra na zewnątrz; zaokrąglanie pleców; pośpiech","Ujawnia asymetrie prawe/lewe biodro. Podparcie pozwala skupić się na pośladku, nie na balansie. Bardzo wysoki SFR.","Najbardziej 'terapeutyczne' ćwiczenie siłowe na biodra w planie.","Bez hantla; stopa tylnej nogi delikatnie dotyka podłogi","Bez podparcia; cięższy hantel"
"EX27","Wiosłowanie w podporze","Plank Row / Renegade Row","core","plecy, core (antyrotacja), barki","2 hantle (sześciokątne najlepiej), mata","3","Podpór przodem na hantlach, stopy szeroko (stabilniej) | Napnij brzuch, biodra nieruchome | Pociągnij jeden hantel do biodra, drugi ramię trzyma podpór | Opuść kontrolowanie, zmień rękę","Kręcenie biodrami; opadające biodra; szarpanie","Uczy trzymać kręgosłup stabilnie gdy działa na niego siła skręcająca — funkcjonalna ochrona pleców.","Dwa w jednym: plecy + core. Wymagające, ale bardzo satysfakcjonujące.","Kolana na podłodze; tylko podpór na hantlach bez wiosłowania","Stopy wąsko; cięższe hantle"
"EX28","Uginanie ramion z hantlami","Dumbbell Biceps Curl","sila","biceps","2 hantle","1","Stój, hantle wzdłuż ciała, dłonie w przód, łokcie przy tułowiu | Zgnij łokcie unosząc hantle do barków, łokcie nie uciekają w przód | Powolne opuszczanie (2-3 s)","Bujanie tułowiem; łokcie do przodu; szybkie opuszczanie","Bez znaczenia dla kręgosłupa; jeśli kusi bujanie — rób siedząc lub plecami do ściany.","Ćwiczenie 'dla przyjemności' — szybki efekt wizualny, motywuje. Superset z EX29.","Naprzemiennie","Chwyt młotkowy; wolne tempo 4 s w dół"
"EX29","Prostowanie ramion nad głową","Overhead Triceps Extension","sila","triceps","hantel","1","Stój lub siedź, jeden hantel oburącz nad głową | Łokcie blisko głowy, skierowane w przód | Zgnij łokcie opuszczając hantel za głowę | Wyprostuj, nie blokując łokci z 'trzaskiem'","Rozjeżdżanie łokci; wyginanie pleców (siedź z oparciem jeśli tak jest)","Siedząc z oparciem = zero problemu dla pleców.","Triceps to 2/3 objętości ramienia — więcej efektu wizualnego niż biceps. Superset z EX28.","Lżejszy hantel","Wolne tempo; cięższy"
"EX30","Unoszenie hantli bokiem","Lateral Raise","sila","boczna część barków","2 hantle","1","Stój, hantle wzdłuż ciała, łokcie minimalnie zgięte | Unieś ręce bokiem do wysokości barków, jakbyś wylewał wodę z dzbanków (małe palce lekko wyżej) | Zatrzymaj 1 s, opuść wolno 2-3 s","Bujanie; podciąganie barków do uszu; za ciężko (to ćwiczenie na lekkie hantle)","Bez obciążenia pleców. Lekki ciężar.","Szersze barki = wizualnie węższa talia. Szybki, przyjemny efekt.","Lżejsze, siedząc","Pauza 2 s; wolne tempo"
"EX31","Deska kopenhaska (na krześle)","Copenhagen Plank (short lever)","core","przywodziciele, core boczne","krzesło/kanapa, mata","3","Leż na boku, górna noga (zgięta w kolanie) oparta kolanem i łydką na krześle/kanapie, dolna noga pod nim | Podpór na łokciu | Unieś biodra ściskając górną nogę w krzesło — ciało w linii | Trzymaj 15-25 s","Opadające biodra; zbyt długie dźwignie od razu","Wzmacnia przywodziciele, które stabilizują biodro i miednicę. Zacznij od krótkiego czasu — silny bodziec.","Prewencja bólu pachwiny/biodra; bardzo skuteczne ćwiczenie w małej dawce.","Dolna noga na podłodze pomaga","Oparcie tylko stopą (długa dźwignia)"
"EX32","Spacer z walizką","Suitcase Carry","core","core boczne, pośladkowy średni, chwyt","1 hantel","2","Jak EX24, ale z jednym hantlem w jednej ręce | Tułów PROSTO — nie przechylaj się w stronę przeciwną do hantla | Idź 30-40 s, zmień rękę","Przechylanie się na bok; barek do ucha","Trenuje mięśnie, które trzymają miednicę poziomo przy chodzeniu — pośladkowy średni po stronie przeciwnej do hantla. Funkcjonalne dla biodra.","Sprytne ćwiczenie core: bez skłonów, bez 'brzuszków', a brzuch skośny i biodro pracują mocno.","Lżejszy hantel","Cięższy; dłuższy czas"
"EX33","Deska boczna","Side Plank","core","core boczne, pośladkowy średni","mata","2","Leż na boku, łokieć pod barkiem, nogi proste (lub kolana zgięte) | Unieś biodra — ciało w linii | Trzymaj 20-40 s, oddychaj | Zmień stronę","Opadające biodra; skręt tułowia do przodu; barek do ucha","Bezpieczne wzmocnienie core bez zginania kręgosłupa (McGill 'big 3').","Stabilizacja boczna kręgosłupa i biodra.","Kolana zgięte; 10-15 s","Unieś górną nogę; ciężar na biodrze"
"EX34","Szybki spacer","Brisk Walk","kondycja","całe ciało, układ krążenia","buty","1","Tempo, w którym możesz mówić, ale nie śpiewać | 20-45 min | Najlepiej po posiłku (10-15 min) — pomaga na refluks i cukier we krwi","Traktowanie spaceru jako 'nie liczy się'","Zero obciążenia stawów, najlepsza regeneracja aktywna dla pleców i bioder.","NEAT — realnie największy 'spalacz' w Twoim dniu. Nie zastępuje treningu, ale plan bez tego nie działa.","Krótsze odcinki 3x10 min","Podbiegi/wzniesienia; z plecakiem"
"EX35","Rolowanie pośladków (opcjonalne)","Foam Rolling Glutes","regeneracja","pośladki","roller/piłka","1","Usiądź na rollerze, przekręć się lekko na jeden pośladek | Powoli toczyć 60-90 s na stronę, zatrzymując się w bolesnych punktach na 20-30 s z długim wydechem | Nie dłużej niż 2 min na stronę","Rolowanie 20 min bez oddechu; mocny ból","Rolowanie nie 'rozbija zrostów' — obniża napięcie przez układ nerwowy, na 20-60 min. Dlatego bez wzmacniania i rozciągania napięcie wraca codziennie. Zostaw jako opcję po rutynie wieczornej, jeśli nadal potrzebne.","Świadomie przenosimy Cię z rolowania na ćwiczenia leczące przyczynę. Po 3-4 tygodniach spodziewaj się, że potrzeba rolowania spadnie.","Piłka tenisowa pod pośladek przy ścianie (mniejszy nacisk)","-"
"EX36","Oddech 4-7-8 leżąc","4-7-8 Breathing","regeneracja","układ nerwowy (przywspółczulny)","łóżko","1","Leż na plecach, dłoń na brzuchu | Wdech nosem 4 s (brzuch unosi się) | Zatrzymaj 7 s | Wydech ustami 8 s, z lekkim 'szszsz' | 6-8 cykli","Wdech do klatki; spinanie barków; liczenie 'na siłę' — jeśli 7 s to za długo, skróć proporcjonalnie","Długi wydech = sygnał bezpieczeństwa dla mózgu = mięśnie (w tym pośladki) puszczają napięcie. Ostatnia rzecz przed snem.","Najlepsze 'narzędzie' do zasypiania bez rolowania. Działa od pierwszego razu, coraz lepiej z praktyką.","4-4-6","Dodaj skan ciała: rozluźniaj po kolei stopy, uda, pośladki, brzuch, barki, twarz"
