termin,kategoria,wyjasnienie_prosto,przyklad_lub_analogia,aliasy
"Zginacze bioder","anatomia","Mięśnie z przodu biodra (biodrowo-lędźwiowy, prosty uda). Skracają się od siedzenia i ciągną miednicę do przodu → napięte pośladki i dolne plecy.","Główny 'winowajca' Twojej potrzeby rolowania. Rozciągamy je codziennie i wzmacniamy pośladki.","zginacze bioder;zginaczy bioder;zginacze;zginaczy"
"Pośladkowy średni","anatomia","Mięsień z boku biodra stabilizujący miednicę przy staniu na jednej nodze. U osób siedzących słaby → biodro i dolne plecy przejmują pracę → ból.","Ćwiczenia: clamshell, odwodzenie leżąc bokiem, mostek jednonóż, wykroki.","pośladkowy średni;pośladkowego średniego"
"Przywodziciele","anatomia","Mięśnie wewnętrznej strony uda. Stabilizują biodro i miednicę.","Ćwiczenia: sumo squat, Copenhagen plank.","przywodziciele;przywodzicieli"
"Goblet","trening","Trzymanie jednego hantla pionowo przy klatce, obiema rękami 'jak kielich'.","Najbezpieczniejszy sposób nauki przysiadu — ciężar z przodu pomaga trzymać proste plecy.","goblet"
"RDL (rumuński martwy ciąg)","trening","Skłon z hantlami wzdłuż ud, prawie prostymi nogami, plecy proste. Ćwiczy tył uda i pośladki.","Król ćwiczeń na pośladki i tył ciała; robimy go z kontrolą, bez odbijania od ziemi.","RDL"
"Hip thrust","trening","Wypychanie bioder w górę z plecami opartymi o kanapę/łóżko, ciężar na biodrach.","Najlepiej izoluje pośladki przy minimalnym obciążeniu kręgosłupa.","hip thrust"
"Floor press","trening","Wyciskanie hantli leżąc na podłodze. Podłoga zatrzymuje łokcie = bezpieczniej dla barków niż ławka.","Zamiennik wyciskania na ławce w domu.","floor press"
"Superset","trening","Dwa ćwiczenia wykonywane jedno po drugim bez przerwy, potem przerwa.","Oszczędza czas, np. biceps + triceps.","superset"
"Full body","trening","Każdy trening ćwiczy całe ciało (zamiast dzielenia na 'dzień klatki', 'dzień nóg').","Przy 3 treningach/tyg każdy mięsień pracuje 3 razy = najlepiej na hipertrofię i naukę techniki.","full body"
"Deload","trening","Zaplanowany lżejszy tydzień co 6-8 tygodni.","Jak urlop — wracasz silniejszy.","deload;deloadzie"
"SFR (stosunek bodziec/zmęczenie)","trening","Ile mięśnia budujesz na jednostkę zmęczenia stawów i głowy. Wybieramy ćwiczenia z wysokim SFR.","Goblet squat: dużo bodźca, mało ryzyka. Przysiad ze sztangą 1RM: dużo bodźca, dużo ryzyka.","SFR"
"Oddech przeponowy","regeneracja","Wdech nosem 'do brzucha' (brzuch rośnie, klatka mało), długi wydech ustami. Przełącza układ nerwowy na tryb 'odpocznij i traw'.","5 minut wieczorem rozluźnia mięśnie skuteczniej niż rolowanie — bo rozluźnienie idzie z mózgu, nie z ucisku.","oddech przeponowy;oddychaj przeponą;przeponą;oddechem"
"HRV","regeneracja","Zmienność rytmu serca — wskaźnik regeneracji z zegarka. Wysoki = wypoczęty, niski = zmęczony/stres.","Opcjonalnie do dziennika. Niski HRV + słaby sen = zrób trening lżej (autoregulacja).","HRV"
"Autoregulacja","trening","Dostosowanie treningu do dnia: gorszy sen/stres → ciężar -10%, mniej serii. Dobry dzień → normalnie.","Plan jest mapą, nie kontraktem.","autoregulacja;autoregulacji"
"Kreatyna monohydrat","suplementy","Najlepiej przebadany suplement: +siła, +masa mięśniowa, +regeneracja. 3-5 g dziennie, codziennie.","Nie 'sterydy', nie szkodzi nerkom u zdrowych (dziesiątki badań). Efekt po 3-4 tygodniach.","kreatyna;kreatyny;kreatynę"
