id,nazwa,kategoria,kcal_100g,bialko_g,tluszcz_g,wegle_g,blonnik_g,refluks,dlaczego_w_diecie_lub_uwagi
"ING16","Tofu naturalne","białko roślinne","76","8","4.8","1.9","1","bezpieczny","Zamiennik mięsa na 1-2 posiłki w tygodniu. Neutralne, przyjmuje smak przypraw."
"ING17","Ryż biały / basmati (suchy)","węglowodany","350","7","0.6","78","1","bezpieczny","Najbardziej lekkostrawne węgle. Idealny wokół treningu. Gotuj większą porcję na 2-3 dni."
"ING18","Ziemniaki","węglowodany","77","2","0.1","17","2","bezpieczny","Bardzo sycące na kalorię, potas. Gotowane/pieczone, nie frytki."
"ING19","Bataty","węglowodany","86","1.6","0.1","20","3","bezpieczny","Beta-karoten, błonnik, słodki smak. Pieczone w kostce."
"ING20","Kasza jaglana (sucha)","węglowodany","350","10.5","3","71","3","bezpieczny","ZAMIENNIK OWSIANKI. Zasadotwórcza, bezglutenowa, łagodna dla żołądka. Płucz przed gotowaniem (gorycz)."
"ING21","Kasza gryczana (sucha)","węglowodany","340","12","3","70","10","bezpieczny","Magnez, błonnik, białko. Do wołowiny."
"ING22","Komosa ryżowa / quinoa (sucha)","węglowodany","368","14","6","64","7","bezpieczny","Kompletne białko roślinne. Do sałatek."
"ING23","Makaron pełnoziarnisty (suchy)","węglowodany","350","13","2.5","65","8","bezpieczny","Błonnik + sytość. Ugotowany al dente = niższy indeks glikemiczny."
"ING24","Chleb żytni pełnoziarnisty (na zakwasie)","węglowodany","220","6","1.5","43","8","umiar","Zakwas = lepiej strawny. Jeśli wzdyma/pali — zamień na ryżowe wafle lub ziemniaki."
"ING25","Tortilla pełnoziarnista (1 szt. ~60 g)","węglowodany","300","8","7","50","5","bezpieczny","Szybki obiad 'do ręki'."
"ING26","Wafle ryżowe","węglowodany","390","8","2","82","1","bezpieczny","Lekka baza przekąski przedtreningowej."
"ING27","Mąka ryżowa","węglowodany","360","6","1.4","80","1","bezpieczny","Do placków bananowych."
"ING28","Banan","owoce","89","1","0.3","23","2.6","bezpieczny","Najlepszy owoc na refluks (naturalnie neutralizuje kwas). Potas. Przed treningiem."
"ING29","Gruszka","owoce","57","0.4","0.1","15","3","bezpieczny","Łagodna, błonnik."
"ING30","Jabłko słodkie (pieczone lub surowe)","owoce","52","0.3","0.2","14","2.4","umiar","Słodkie odmiany ok; kwaśne (antonówka) i sok — nie. Pieczone = najłagodniejsze."
"ING31","Borówki","owoce","57","0.7","0.3","14","2.4","umiar","Antyoksydanty. Małe porcje (80 g) zwykle tolerowane."
"ING32","Melon / arbuz","owoce","30","0.6","0.2","8","0.5","bezpieczny","Nawadnia, mało kwasu."
"ING33","Brokuł","warzywa","34","2.8","0.4","7","2.6","bezpieczny","Sulforafan, witamina C, K. Na parze 5-6 min — al dente = mniej wzdęć."
"ING34","Cukinia","warzywa","17","1.2","0.3","3","1","bezpieczny","Najbardziej neutralne warzywo — do wszystkiego. Objętość bez kalorii."
"ING35","Marchew","warzywa","41","0.9","0.2","10","2.8","bezpieczny","Beta-karoten. Słodka gotowana/pieczona."
"ING36","Fasolka szparagowa","warzywa","31","1.8","0.1","7","2.7","bezpieczny","Lekkostrawna, do ryby."
"ING37","Dynia","warzywa","26","1","0.1","6.5","0.5","bezpieczny","Kremy, pieczona. Bardzo łagodna."
"ING38","Szpinak","warzywa","23","2.9","0.4","3.6","2.2","bezpieczny","Folian, magnez, żelazo. Świeży lub mrożony."
"ING39","Ogórek","warzywa","15","0.7","0.1","3.6","0.5","bezpieczny","Chrupkość bez kwasu (zamiast pomidora w kanapkach)."
"ING40","Sałata / roszponka / mix","warzywa","15","1.4","0.2","2","1.3","bezpieczny","Objętość."
"ING41","Korzeń pietruszki / seler","warzywa","36","1.5","0.3","8","3","bezpieczny","Do duszonych mięs i zup."
"ING42","Koper włoski (fenkuł)","warzywa","31","1.2","0.2","7","3","bezpieczny","Tradycyjnie łagodzi trawienie i refluks. Pieczony jest słodki."
"ING43","Imbir świeży","przyprawy","80","1.8","0.8","18","2","bezpieczny","Przyspiesza opróżnianie żołądka, przeciwzapalny. 1-2 cm na danie. W nadmiarze może palić."
"ING44","Kurkuma, tymianek, bazylia, koperek, natka, oregano, cynamon, liść laurowy","przyprawy","-","-","-","-","-","bezpieczny","Smak bez ostrości. Kurkuma + czarny pieprz (odrobina) = lepsze wchłanianie."
"ING45","Sos sojowy jasny (lub tamari)","przyprawy","60","6","0","6","0","umiar","10 ml na danie — smak umami bez ostrych sosów."
"ING46","Sól","przyprawy","0","0","0","0","0","bezpieczny","Normalnie. Przy treningu i poceniu nie ograniczaj sztucznie."
"ING47","Oliwa z oliwek extra virgin","tłuszcze","884","0","100","0","0","umiar","Główny tłuszcz. Odmierzaj łyżeczką (5 g = 44 kcal) — 'na oko' to najczęstszy ukryty nadmiar kalorii."
"ING48","Olej rzepakowy rafinowany","tłuszcze","884","0","100","0","0","umiar","Do stir-fry (wyższa temperatura). Dobry profil omega-3/6."
"ING49","Awokado","tłuszcze","160","2","15","9","7","umiar","Tłuszcze jednonienasycone, potas, błonnik. 40-50 g na porcję."
"ING50","Migdały","tłuszcze","579","21","50","22","12","umiar","Zasadotwórcze, witamina E, magnez. 15-20 g."
"ING51","Orzechy włoskie","tłuszcze","654","15","65","14","7","umiar","Roślinne omega-3 (ALA). 15 g."
"ING52","Masło orzechowe 100% (bez cukru i oleju palmowego)","tłuszcze","588","25","50","20","6","umiar","Smak i sytość. 15 g = 1 łyżka = 88 kcal. Waż."
"ING53","Nasiona chia","tłuszcze / błonnik","486","17","31","42","34","bezpieczny","Błonnik + omega-3. 10 g do skyru."
"ING54","Pestki dyni","tłuszcze","559","30","49","11","6","umiar","Magnez, cynk. 10 g na zupę."
"ING55","Ziarna słonecznika","tłuszcze","584","21","51","20","9","umiar","Witamina E. 10 g na sałatkę."
"ING56","Napój migdałowy niesłodzony","napoje","24","0.5","1.1","3","0","bezpieczny","Baza szejków i jaglanki — lżejsza dla żołądka niż mleko u części osób. Alternatywa: mleko 2% (50 kcal, 3.4 g białka)."
"ING57","Mleko 2%","nabiał","50","3.4","2","4.8","0","umiar","Jeśli tolerujesz — więcej białka niż napoje roślinne."
"ING58","Woda / woda niegazowana z plasterkiem ogórka","napoje","0","0","0","0","0","bezpieczny","2.5-3 l. Zamiast gazowanych. Herbaty: rumianek, koper włoski, imbirowa (słaba)."
"ING59","Kawa","napoje","2","0","0","0","0","unikaj / test","Rozluźnia zwieracz przełyku. Jeśli nie chcesz rezygnować: 1 mała rano, po śniadaniu (nie na pusty żołądek), nie po 14:00. Obserwuj w dzienniku."
"ING60","Pomidory i przetwory (sos, ketchup, passata)","unikaj","18","0.9","0.2","3.9","1.2","unikaj","Kwaśne — klasyczny trigger refluksu. W przepisach zastąpione sosami jogurtowo-ziołowymi i kremami warzywnymi."
"ING61","Cytrusy, sok pomarańczowy, kwaśne owoce, ocet","unikaj","-","-","-","-","-","unikaj","Kwas. Do sałatek: łyżka jogurtu + zioła zamiast octu/cytryny."
"ING62","Cebula surowa, czosnek surowy","unikaj","-","-","-","-","-","umiar","Surowe = trigger. Duszone/pieczone długo w małej ilości większość osób toleruje — testuj."
"ING63","Czekolada, mięta, napoje gazowane, alkohol, energetyki","unikaj","-","-","-","-","-","unikaj","Rozluźniają zwieracz przełyku (mięta, czekolada, alkohol) lub zwiększają ciśnienie w żołądku (gaz)."
"ING64","Ostre przyprawy (chili, pieprz cayenne, ostra papryka)","unikaj","-","-","-","-","-","unikaj","Drażnią przełyk. Smak budujemy imbirem, ziołami, kurkumą, sosem sojowym."
"ING65","Smażone na głębokim tłuszczu, fast food, tłuste wędliny, śmietana 30%","unikaj","-","-","-","-","-","unikaj","Duże ilości tłuszczu naraz spowalniają żołądek → refluks. Plus gęstość kaloryczna bez sytości."
"ING66","Płatki owsiane","wykluczone (preferencja)","372","13","7","59","10","bezpieczny","Fizjologicznie bardzo dobre, wykluczone na Twoje życzenie. Zamiennik: kasza jaglana (ING20), ryż, komosa."
